Transaksi,Tanggal,Waktu,Menu,Harga,Jumlah,Total
408,28/10/2024,2:50:28 PM,Jeruk Panas,Rp10.000,2,Rp20.000
409,28/10/2024,10:06:39 PM,Coto Makassar,Rp35.000,2,Rp70.000
409,28/10/2024,10:06:39 PM,Ketupat,Rp2.000,3,Rp6.000
409,28/10/2024,10:06:39 PM,Sop Konro,Rp50.000,1,Rp50.000
409,28/10/2024,10:06:39 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
409,28/10/2024,10:06:39 PM,Jeruk Panas,Rp10.000,1,Rp10.000
410,28/10/2024,10:20:41 PM,Sop Konro,Rp50.000,3,Rp150.000
410,28/10/2024,10:20:41 PM,Jeruk Panas,Rp10.000,2,Rp20.000
411,28/10/2024,11:19:17 AM,Sop Kikil,Rp40.000,1,Rp40.000
411,28/10/2024,11:19:17 AM,Ayam Bakar,Rp30.000,1,Rp30.000
411,28/10/2024,11:19:17 AM,Es Teh,Rp6.000,2,Rp12.000
411,28/10/2024,11:19:17 AM,Jeruk Panas,Rp10.000,1,Rp10.000
412,28/10/2024,8:22:17 AM,Ayam Geprek,Rp30.000,2,Rp60.000
412,28/10/2024,8:22:17 AM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
412,28/10/2024,8:22:17 AM,Ketupat,Rp2.000,1,Rp2.000
412,28/10/2024,8:22:17 AM,Jus Mangga,Rp20.000,1,Rp20.000
413,28/10/2024,11:31:14 AM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
413,28/10/2024,11:31:14 AM,Sop Kikil,Rp40.000,1,Rp40.000
413,28/10/2024,11:31:14 AM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
413,28/10/2024,11:31:14 AM,Jeruk Panas,Rp10.000,2,Rp20.000
413,28/10/2024,11:31:14 AM,Jus Mangga,Rp20.000,2,Rp40.000
414,28/10/2024,2:02:41 PM,Coto Makassar,Rp35.000,1,Rp35.000
414,28/10/2024,2:02:41 PM,Ketupat,Rp2.000,3,Rp6.000
414,28/10/2024,2:02:41 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
414,28/10/2024,2:02:41 PM,Buras,Rp2.000,1,Rp2.000
414,28/10/2024,2:02:41 PM,Es Teh,Rp6.000,1,Rp6.000
414,28/10/2024,2:02:41 PM,Jeruk Panas,Rp10.000,2,Rp20.000
415,28/10/2024,6:25:42 PM,Coto Makassar,Rp35.000,3,Rp105.000
415,28/10/2024,6:25:42 PM,Ketupat,Rp2.000,3,Rp6.000
415,28/10/2024,6:25:42 PM,Jus Mangga,Rp20.000,1,Rp20.000
416,28/10/2024,9:21:51 AM,Sop Kikil,Rp40.000,1,Rp40.000
416,28/10/2024,9:21:51 AM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
416,28/10/2024,9:21:51 AM,Konro Bakar,Rp60.000,1,Rp60.000
416,28/10/2024,9:21:51 AM,Kerupuk,Rp3.000,1,Rp3.000
416,28/10/2024,9:21:51 AM,Es Jeruk,Rp10.000,1,Rp10.000
416,28/10/2024,9:21:51 AM,Es Teh,Rp6.000,1,Rp6.000
416,28/10/2024,9:21:51 AM,Jus Alpukat,Rp20.000,1,Rp20.000
417,28/10/2024,12:08:26 PM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
417,28/10/2024,12:08:26 PM,Ayam Geprek,Rp30.000,1,Rp30.000
417,28/10/2024,12:08:26 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
417,28/10/2024,12:08:26 PM,Ketupat,Rp2.000,2,Rp4.000
417,28/10/2024,12:08:26 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
417,28/10/2024,12:08:26 PM,Teh Panas,Rp6.000,2,Rp12.000
417,28/10/2024,12:08:26 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
418,28/10/2024,2:43:24 PM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
418,28/10/2024,2:43:24 PM,Rahang Tuna Bakar,Rp50.000,1,Rp50.000
418,28/10/2024,2:43:24 PM,Jus Mangga,Rp20.000,2,Rp40.000
418,28/10/2024,2:43:24 PM,Teh Panas,Rp6.000,1,Rp6.000
419,28/10/2024,11:29:27 AM,Konro Bakar,Rp60.000,3,Rp180.000
419,28/10/2024,11:29:27 AM,Buras,Rp2.000,1,Rp2.000
419,28/10/2024,11:29:27 AM,Peyek,Rp4.000,2,Rp8.000
419,28/10/2024,11:29:27 AM,Es Jeruk,Rp10.000,2,Rp20.000
420,28/10/2024,6:44:26 PM,Ayam Goreng,Rp30.000,3,Rp90.000
420,28/10/2024,6:44:26 PM,Ayam Geprek,Rp30.000,1,Rp30.000
420,28/10/2024,6:44:26 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
420,28/10/2024,6:44:26 PM,Teh Panas,Rp6.000,1,Rp6.000
420,28/10/2024,6:44:26 PM,Es Teh,Rp6.000,2,Rp12.000
420,28/10/2024,6:44:26 PM,Jus Alpukat,Rp20.000,1,Rp20.000
421,28/10/2024,12:15:45 PM,Ayam Goreng,Rp30.000,1,Rp30.000
421,28/10/2024,12:15:45 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
421,28/10/2024,12:15:45 PM,Konro Bakar,Rp60.000,2,Rp120.000
421,28/10/2024,12:15:45 PM,Es Jeruk,Rp10.000,2,Rp20.000
421,28/10/2024,12:15:45 PM,Es Teh,Rp6.000,2,Rp12.000
421,28/10/2024,12:15:45 PM,Jus Mangga,Rp20.000,2,Rp40.000
422,28/10/2024,1:06:21 PM,Konro Bakar,Rp60.000,2,Rp120.000
422,28/10/2024,1:06:21 PM,Ayam Geprek,Rp30.000,1,Rp30.000
422,28/10/2024,1:06:21 PM,Coto Makassar,Rp35.000,2,Rp70.000
422,28/10/2024,1:06:21 PM,Ketupat,Rp2.000,2,Rp4.000
422,28/10/2024,1:06:21 PM,Buras,Rp2.000,1,Rp2.000
422,28/10/2024,1:06:21 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
422,28/10/2024,1:06:21 PM,Jeruk Panas,Rp10.000,2,Rp20.000
423,28/10/2024,1:00:58 PM,Sop Kikil,Rp40.000,1,Rp40.000
423,28/10/2024,1:00:58 PM,Coto Makassar,Rp35.000,3,Rp105.000
423,28/10/2024,1:00:58 PM,Ketupat,Rp2.000,2,Rp4.000
423,28/10/2024,1:00:58 PM,Ayam Goreng,Rp30.000,3,Rp90.000
423,28/10/2024,1:00:58 PM,Kacang Goreng,Rp4.000,2,Rp8.000
423,28/10/2024,1:00:58 PM,Kerupuk,Rp3.000,1,Rp3.000
423,28/10/2024,1:00:58 PM,Es Teh,Rp6.000,2,Rp12.000
423,28/10/2024,1:00:58 PM,Es Jeruk,Rp10.000,2,Rp20.000
423,28/10/2024,1:00:58 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
424,28/10/2024,12:00:20 PM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
424,28/10/2024,12:00:20 PM,Coto Makassar,Rp35.000,1,Rp35.000
424,28/10/2024,12:00:20 PM,Ketupat,Rp2.000,1,Rp2.000
424,28/10/2024,12:00:20 PM,Kerupuk,Rp3.000,2,Rp6.000
424,28/10/2024,12:00:20 PM,Kacang Goreng,Rp4.000,2,Rp8.000
424,28/10/2024,12:00:20 PM,Jeruk Panas,Rp10.000,1,Rp10.000
424,28/10/2024,12:00:20 PM,Teh Panas,Rp6.000,1,Rp6.000
425,28/10/2024,11:41:40 AM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
425,28/10/2024,11:41:40 AM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
425,28/10/2024,11:41:40 AM,Ayam Geprek,Rp30.000,2,Rp60.000
425,28/10/2024,11:41:40 AM,Kerupuk,Rp3.000,2,Rp6.000
425,28/10/2024,11:41:40 AM,Nasi Putih,Rp5.000,1,Rp5.000
425,28/10/2024,11:41:40 AM,Es Jeruk,Rp10.000,2,Rp20.000
425,28/10/2024,11:41:40 AM,Jus Alpukat,Rp20.000,2,Rp40.000
425,28/10/2024,11:41:40 AM,Teh Panas,Rp6.000,1,Rp6.000
426,28/10/2024,10:09:07 PM,Konro Bakar,Rp60.000,3,Rp180.000
426,28/10/2024,10:09:07 PM,Ketupat,Rp2.000,1,Rp2.000
426,28/10/2024,10:09:07 PM,Jeruk Panas,Rp10.000,1,Rp10.000
427,28/10/2024,7:12:06 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
427,28/10/2024,7:12:06 PM,Cumi Bakar,Rp45.000,2,Rp90.000
427,28/10/2024,7:12:06 PM,Kacang Goreng,Rp4.000,2,Rp8.000
427,28/10/2024,7:12:06 PM,Buras,Rp2.000,2,Rp4.000
427,28/10/2024,7:12:06 PM,Teh Panas,Rp6.000,2,Rp12.000
427,28/10/2024,7:12:06 PM,Es Jeruk,Rp10.000,2,Rp20.000
428,28/10/2024,11:13:20 AM,Konro Bakar,Rp60.000,1,Rp60.000
428,28/10/2024,11:13:20 AM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
428,28/10/2024,11:13:20 AM,Ayam Geprek,Rp30.000,1,Rp30.000
428,28/10/2024,11:13:20 AM,Peyek,Rp4.000,1,Rp4.000
428,28/10/2024,11:13:20 AM,Jeruk Panas,Rp10.000,2,Rp20.000
428,28/10/2024,11:13:20 AM,Teh Panas,Rp6.000,2,Rp12.000
428,28/10/2024,11:13:20 AM,Jeruk Panas,Rp10.000,1,Rp10.000
429,28/10/2024,5:43:17 PM,Ikan Goreng Tepung,Rp50.000,1,Rp50.000
429,28/10/2024,5:43:17 PM,Dada Tuna Bakar,Rp40.000,3,Rp120.000
429,28/10/2024,5:43:17 PM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
429,28/10/2024,5:43:17 PM,Jeruk Panas,Rp10.000,1,Rp10.000
429,28/10/2024,5:43:17 PM,Es Teh,Rp6.000,1,Rp6.000
429,28/10/2024,5:43:17 PM,Jus Mangga,Rp20.000,2,Rp40.000
430,28/10/2024,8:04:49 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
430,28/10/2024,8:04:49 PM,Coto Makassar,Rp35.000,3,Rp105.000
430,28/10/2024,8:04:49 PM,Ketupat,Rp2.000,2,Rp4.000
430,28/10/2024,8:04:49 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
430,28/10/2024,8:04:49 PM,Peyek,Rp4.000,1,Rp4.000
430,28/10/2024,8:04:49 PM,Es Jeruk,Rp10.000,1,Rp10.000
430,28/10/2024,8:04:49 PM,Teh Panas,Rp6.000,1,Rp6.000
430,28/10/2024,8:04:49 PM,Jeruk Panas,Rp10.000,2,Rp20.000
431,28/10/2024,5:35:11 PM,Sop Konro,Rp50.000,1,Rp50.000
431,28/10/2024,5:35:11 PM,Cumi Bakar,Rp45.000,2,Rp90.000
431,28/10/2024,5:35:11 PM,Buras,Rp2.000,2,Rp4.000
431,28/10/2024,5:35:11 PM,Jus Alpukat,Rp20.000,1,Rp20.000
431,28/10/2024,5:35:11 PM,Es Jeruk,Rp10.000,2,Rp20.000
432,28/10/2024,2:54:23 PM,Ayam Geprek,Rp30.000,1,Rp30.000
432,28/10/2024,2:54:23 PM,Ketupat,Rp2.000,1,Rp2.000
432,28/10/2024,2:54:23 PM,Ketupat,Rp2.000,2,Rp4.000
432,28/10/2024,2:54:23 PM,Jus Alpukat,Rp20.000,1,Rp20.000
433,28/10/2024,2:53:46 PM,Ayam Geprek,Rp30.000,3,Rp90.000
433,28/10/2024,2:53:46 PM,Jus Mangga,Rp20.000,2,Rp40.000
434,28/10/2024,12:35:02 PM,Ikan Bakar Rica,Rp50.000,1,Rp50.000
434,28/10/2024,12:35:02 PM,Konro Bakar,Rp60.000,2,Rp120.000
434,28/10/2024,12:35:02 PM,Buras,Rp2.000,1,Rp2.000
434,28/10/2024,12:35:02 PM,Es Teh,Rp6.000,2,Rp12.000
434,28/10/2024,12:35:02 PM,Teh Panas,Rp6.000,2,Rp12.000
435,28/10/2024,12:07:28 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
435,28/10/2024,12:07:28 PM,Nasi Putih,Rp5.000,2,Rp10.000
435,28/10/2024,12:07:28 PM,Teh Panas,Rp6.000,2,Rp12.000
436,28/10/2024,11:36:36 AM,Ikan Bakar Rica,Rp50.000,1,Rp50.000
436,28/10/2024,11:36:36 AM,Ayam Goreng,Rp30.000,2,Rp60.000
436,28/10/2024,11:36:36 AM,Cumi Bakar,Rp45.000,2,Rp90.000
436,28/10/2024,11:36:36 AM,Buras,Rp2.000,2,Rp4.000
436,28/10/2024,11:36:36 AM,Es Jeruk,Rp10.000,2,Rp20.000
436,28/10/2024,11:36:36 AM,Jus Alpukat,Rp20.000,2,Rp40.000
436,28/10/2024,11:36:36 AM,Jus Alpukat,Rp20.000,1,Rp20.000
437,28/10/2024,11:26:51 AM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
437,28/10/2024,11:26:51 AM,Kerupuk,Rp3.000,1,Rp3.000
437,28/10/2024,11:26:51 AM,Teh Panas,Rp6.000,2,Rp12.000
438,28/10/2024,10:40:18 AM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
438,28/10/2024,10:40:18 AM,Coto Makassar,Rp35.000,1,Rp35.000
438,28/10/2024,10:40:18 AM,Ketupat,Rp2.000,3,Rp6.000
438,28/10/2024,10:40:18 AM,Ketupat,Rp2.000,1,Rp2.000
438,28/10/2024,10:40:18 AM,Buras,Rp2.000,1,Rp2.000
438,28/10/2024,10:40:18 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
438,28/10/2024,10:40:18 AM,Jus Mangga,Rp20.000,2,Rp40.000
439,28/10/2024,12:26:12 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
439,28/10/2024,12:26:12 PM,Ketupat,Rp2.000,2,Rp4.000
439,28/10/2024,12:26:12 PM,Kerupuk,Rp3.000,2,Rp6.000
439,28/10/2024,12:26:12 PM,Jeruk Panas,Rp10.000,2,Rp20.000
440,28/10/2024,11:48:45 AM,Sop Konro,Rp50.000,2,Rp100.000
440,28/10/2024,11:48:45 AM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
440,28/10/2024,11:48:45 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
440,28/10/2024,11:48:45 AM,Teh Panas,Rp6.000,2,Rp12.000
440,28/10/2024,11:48:45 AM,Es Jeruk,Rp10.000,2,Rp20.000
441,28/10/2024,9:10:17 PM,Cumi Bakar,Rp45.000,1,Rp45.000
441,28/10/2024,9:10:17 PM,Coto Makassar,Rp35.000,3,Rp105.000
441,28/10/2024,9:10:17 PM,Ketupat,Rp2.000,1,Rp2.000
441,28/10/2024,9:10:17 PM,Ayam Goreng,Rp30.000,1,Rp30.000
441,28/10/2024,9:10:17 PM,Kerupuk,Rp3.000,2,Rp6.000
441,28/10/2024,9:10:17 PM,Kacang Goreng,Rp4.000,2,Rp8.000
441,28/10/2024,9:10:17 PM,Jus Mangga,Rp20.000,1,Rp20.000
441,28/10/2024,9:10:17 PM,Es Jeruk,Rp10.000,1,Rp10.000
442,28/10/2024,11:05:46 AM,Ikan Bakar Rica,Rp50.000,2,Rp100.000
442,28/10/2024,11:05:46 AM,Kacang Goreng,Rp4.000,2,Rp8.000
442,28/10/2024,11:05:46 AM,Es Jeruk,Rp10.000,2,Rp20.000
443,28/10/2024,2:41:45 PM,Coto Makassar,Rp35.000,1,Rp35.000
443,28/10/2024,2:41:45 PM,Ketupat,Rp2.000,3,Rp6.000
443,28/10/2024,2:41:45 PM,Ayam Geprek,Rp30.000,2,Rp60.000
443,28/10/2024,2:41:45 PM,Jus Mangga,Rp20.000,2,Rp40.000
443,28/10/2024,2:41:45 PM,Jeruk Panas,Rp10.000,1,Rp10.000
444,28/10/2024,11:35:13 AM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
444,28/10/2024,11:35:13 AM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
444,28/10/2024,11:35:13 AM,Ayam Geprek,Rp30.000,3,Rp90.000
444,28/10/2024,11:35:13 AM,Buras,Rp2.000,2,Rp4.000
444,28/10/2024,11:35:13 AM,Nasi Putih,Rp5.000,2,Rp10.000
444,28/10/2024,11:35:13 AM,Jus Mangga,Rp20.000,2,Rp40.000
444,28/10/2024,11:35:13 AM,Teh Panas,Rp6.000,1,Rp6.000
445,28/10/2024,11:34:20 AM,Ayam Bakar,Rp30.000,2,Rp60.000
445,28/10/2024,11:34:20 AM,Peyek,Rp4.000,2,Rp8.000
445,28/10/2024,11:34:20 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
446,29/10/2024,10:24:16 PM,Coto Makassar,Rp35.000,3,Rp105.000
446,29/10/2024,10:24:16 PM,Ketupat,Rp2.000,3,Rp6.000
446,29/10/2024,10:24:16 PM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
446,29/10/2024,10:24:16 PM,Ayam Bakar,Rp30.000,3,Rp90.000
446,29/10/2024,10:24:16 PM,Kerupuk,Rp3.000,1,Rp3.000
446,29/10/2024,10:24:16 PM,Ketupat,Rp2.000,2,Rp4.000
446,29/10/2024,10:24:16 PM,Jus Alpukat,Rp20.000,1,Rp20.000
446,29/10/2024,10:24:16 PM,Jus Mangga,Rp20.000,2,Rp40.000
446,29/10/2024,10:24:16 PM,Jeruk Panas,Rp10.000,1,Rp10.000
447,29/10/2024,12:05:32 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
447,29/10/2024,12:05:32 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
447,29/10/2024,12:05:32 PM,Kacang Goreng,Rp4.000,1,Rp4.000
447,29/10/2024,12:05:32 PM,Kacang Goreng,Rp4.000,2,Rp8.000
447,29/10/2024,12:05:32 PM,Jus Alpukat,Rp20.000,2,Rp40.000
447,29/10/2024,12:05:32 PM,Es Jeruk,Rp10.000,1,Rp10.000
448,29/10/2024,7:06:12 AM,Sop Kikil,Rp40.000,1,Rp40.000
448,29/10/2024,7:06:12 AM,Ayam Bakar,Rp30.000,1,Rp30.000
448,29/10/2024,7:06:12 AM,Jus Mangga,Rp20.000,2,Rp40.000
448,29/10/2024,7:06:12 AM,Jus Alpukat,Rp20.000,1,Rp20.000
449,29/10/2024,10:58:32 PM,Cumi Bakar,Rp45.000,1,Rp45.000
449,29/10/2024,10:58:32 PM,Jeruk Panas,Rp10.000,1,Rp10.000
450,29/10/2024,10:06:19 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
450,29/10/2024,10:06:19 PM,Rahang Tuna Bakar,Rp50.000,2,Rp100.000
450,29/10/2024,10:06:19 PM,Kacang Goreng,Rp4.000,2,Rp8.000
450,29/10/2024,10:06:19 PM,Buras,Rp2.000,1,Rp2.000
450,29/10/2024,10:06:19 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
450,29/10/2024,10:06:19 PM,Teh Panas,Rp6.000,1,Rp6.000
451,29/10/2024,12:21:00 PM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
451,29/10/2024,12:21:00 PM,Dada Tuna Bakar,Rp40.000,1,Rp40.000
451,29/10/2024,12:21:00 PM,Buras,Rp2.000,2,Rp4.000
451,29/10/2024,12:21:00 PM,Nasi Putih,Rp5.000,2,Rp10.000
451,29/10/2024,12:21:00 PM,Es Teh,Rp6.000,2,Rp12.000
451,29/10/2024,12:21:00 PM,Teh Panas,Rp6.000,1,Rp6.000
452,29/10/2024,2:47:06 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
452,29/10/2024,2:47:06 PM,Peyek,Rp4.000,2,Rp8.000
452,29/10/2024,2:47:06 PM,Teh Panas,Rp6.000,2,Rp12.000
453,29/10/2024,12:18:20 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
453,29/10/2024,12:18:20 PM,Ayam Goreng,Rp30.000,3,Rp90.000
453,29/10/2024,12:18:20 PM,Ayam Bakar,Rp30.000,3,Rp90.000
453,29/10/2024,12:18:20 PM,Peyek,Rp4.000,2,Rp8.000
453,29/10/2024,12:18:20 PM,Kacang Goreng,Rp4.000,2,Rp8.000
453,29/10/2024,12:18:20 PM,Es Teh,Rp6.000,2,Rp12.000
453,29/10/2024,12:18:20 PM,Teh Panas,Rp6.000,1,Rp6.000
454,29/10/2024,11:11:11 AM,Cumi Bakar,Rp45.000,2,Rp90.000
454,29/10/2024,11:11:11 AM,Konro Bakar,Rp60.000,2,Rp120.000
454,29/10/2024,11:11:11 AM,Sop Konro,Rp50.000,2,Rp100.000
454,29/10/2024,11:11:11 AM,Buras,Rp2.000,1,Rp2.000
454,29/10/2024,11:11:11 AM,Jus Buah Naga,Rp20.000,1,Rp20.000
454,29/10/2024,11:11:11 AM,Es Teh,Rp6.000,1,Rp6.000
454,29/10/2024,11:11:11 AM,Es Jeruk,Rp10.000,2,Rp20.000
455,29/10/2024,8:14:00 PM,Rahang Tuna Bakar,Rp50.000,3,Rp150.000
455,29/10/2024,8:14:00 PM,Jeruk Panas,Rp10.000,2,Rp20.000
456,29/10/2024,1:54:17 PM,Ayam Geprek,Rp30.000,3,Rp90.000
456,29/10/2024,1:54:17 PM,Jus Alpukat,Rp20.000,2,Rp40.000
457,29/10/2024,12:48:55 PM,Coto Makassar,Rp35.000,2,Rp70.000
457,29/10/2024,12:48:55 PM,Ketupat,Rp2.000,3,Rp6.000
457,29/10/2024,12:48:55 PM,Rahang Tuna Bakar,Rp50.000,1,Rp50.000
457,29/10/2024,12:48:55 PM,Jus Alpukat,Rp20.000,2,Rp40.000
457,29/10/2024,12:48:55 PM,Es Teh,Rp6.000,1,Rp6.000
458,29/10/2024,4:14:13 PM,Sop Konro,Rp50.000,3,Rp150.000
458,29/10/2024,4:14:13 PM,Ketupat,Rp2.000,2,Rp4.000
458,29/10/2024,4:14:13 PM,Nasi Putih,Rp5.000,1,Rp5.000
458,29/10/2024,4:14:13 PM,Es Jeruk,Rp10.000,1,Rp10.000
459,29/10/2024,10:36:37 AM,Dada Tuna Bakar,Rp40.000,2,Rp80.000
459,29/10/2024,10:36:37 AM,Ayam Geprek,Rp30.000,2,Rp60.000
459,29/10/2024,10:36:37 AM,Buras,Rp2.000,1,Rp2.000
459,29/10/2024,10:36:37 AM,Jus Mangga,Rp20.000,1,Rp20.000
459,29/10/2024,10:36:37 AM,Jus Alpukat,Rp20.000,2,Rp40.000
460,29/10/2024,5:10:13 PM,Ayam Geprek,Rp30.000,2,Rp60.000
460,29/10/2024,5:10:13 PM,Ayam Bakar,Rp30.000,1,Rp30.000
460,29/10/2024,5:10:13 PM,Jus Alpukat,Rp20.000,2,Rp40.000
460,29/10/2024,5:10:13 PM,Jus Alpukat,Rp20.000,1,Rp20.000
461,29/10/2024,4:56:45 PM,Ayam Goreng,Rp30.000,2,Rp60.000
461,29/10/2024,4:56:45 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
461,29/10/2024,4:56:45 PM,Nasi Putih,Rp5.000,2,Rp10.000
461,29/10/2024,4:56:45 PM,Es Jeruk,Rp10.000,2,Rp20.000
461,29/10/2024,4:56:45 PM,Jus Buah Naga,Rp20.000,1,Rp20.000
462,29/10/2024,1:22:25 PM,Coto Makassar,Rp35.000,3,Rp105.000
462,29/10/2024,1:22:25 PM,Ketupat,Rp2.000,3,Rp6.000
462,29/10/2024,1:22:25 PM,Ayam Geprek,Rp30.000,3,Rp90.000
462,29/10/2024,1:22:25 PM,Sop Konro,Rp50.000,1,Rp50.000
462,29/10/2024,1:22:25 PM,Kerupuk,Rp3.000,1,Rp3.000
462,29/10/2024,1:22:25 PM,Buras,Rp2.000,2,Rp4.000
462,29/10/2024,1:22:25 PM,Jus Mangga,Rp20.000,2,Rp40.000
462,29/10/2024,1:22:25 PM,Jeruk Panas,Rp10.000,2,Rp20.000
462,29/10/2024,1:22:25 PM,Es Teh,Rp6.000,1,Rp6.000
463,29/10/2024,12:19:05 PM,Sop Kikil,Rp40.000,2,Rp80.000
463,29/10/2024,12:19:05 PM,Ayam Geprek,Rp30.000,1,Rp30.000
463,29/10/2024,12:19:05 PM,Ikan Goreng Tepung,Rp50.000,2,Rp100.000
463,29/10/2024,12:19:05 PM,Nasi Putih,Rp5.000,1,Rp5.000
463,29/10/2024,12:19:05 PM,Ketupat,Rp2.000,2,Rp4.000
463,29/10/2024,12:19:05 PM,Es Jeruk,Rp10.000,1,Rp10.000
463,29/10/2024,12:19:05 PM,Jus Buah Naga,Rp20.000,2,Rp40.000
463,29/10/2024,12:19:05 PM,Es Teh,Rp6.000,2,Rp12.000
464,29/10/2024,12:44:17 PM,Sop Kikil,Rp40.000,2,Rp80.000
464,29/10/2024,12:44:17 PM,Buras,Rp2.000,2,Rp4.000
464,29/10/2024,12:44:17 PM,Teh Panas,Rp6.000,2,Rp12.000
465,29/10/2024,7:23:04 AM,Coto Makassar,Rp35.000,1,Rp35.000
465,29/10/2024,7:23:04 AM,Ketupat,Rp2.000,1,Rp2.000
465,29/10/2024,7:23:04 AM,Ikan Goreng Tepung,Rp50.000,3,Rp150.000
465,29/10/2024,7:23:04 AM,Buras,Rp2.000,1,Rp2.000
465,29/10/2024,7:23:04 AM,Teh Panas,Rp6.000,2,Rp12.000
465,29/10/2024,7:23:04 AM,Es Teh,Rp6.000,2,Rp12.000
466,29/10/2024,10:27:04 AM,Ayam Bakar,Rp30.000,3,Rp90.000
466,29/10/2024,10:27:04 AM,Ayam Bakar,Rp30.000,1,Rp30.000
466,29/10/2024,10:27:04 AM,Ayam Geprek,Rp30.000,2,Rp60.000
466,29/10/2024,10:27:04 AM,Es Jeruk,Rp10.000,2,Rp20.000
466,29/10/2024,10:27:04 AM,Jus Alpukat,Rp20.000,1,Rp20.000
466,29/10/2024,10:27:04 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
467,29/10/2024,3:11:56 PM,Konro Bakar,Rp60.000,1,Rp60.000
467,29/10/2024,3:11:56 PM,Ikan Bakar Rica,Rp50.000,3,Rp150.000
467,29/10/2024,3:11:56 PM,Sop Kikil,Rp40.000,3,Rp120.000
467,29/10/2024,3:11:56 PM,Kacang Goreng,Rp4.000,1,Rp4.000
467,29/10/2024,3:11:56 PM,Ketupat,Rp2.000,1,Rp2.000
467,29/10/2024,3:11:56 PM,Jus Alpukat,Rp20.000,1,Rp20.000
467,29/10/2024,3:11:56 PM,Jeruk Panas,Rp10.000,1,Rp10.000
467,29/10/2024,3:11:56 PM,Es Jeruk,Rp10.000,1,Rp10.000
468,29/10/2024,8:27:57 PM,Coto Makassar,Rp35.000,3,Rp105.000
468,29/10/2024,8:27:57 PM,Ketupat,Rp2.000,3,Rp6.000
468,29/10/2024,8:27:57 PM,Nasi Putih,Rp5.000,2,Rp10.000
468,29/10/2024,8:27:57 PM,Ketupat,Rp2.000,1,Rp2.000
468,29/10/2024,8:27:57 PM,Jus Mangga,Rp20.000,2,Rp40.000
469,29/10/2024,9:18:19 AM,Ayam Geprek,Rp30.000,1,Rp30.000
469,29/10/2024,9:18:19 AM,Konro Bakar,Rp60.000,3,Rp180.000
469,29/10/2024,9:18:19 AM,Sop Kikil,Rp40.000,3,Rp120.000
469,29/10/2024,9:18:19 AM,Teh Panas,Rp6.000,1,Rp6.000
469,29/10/2024,9:18:19 AM,Teh Panas,Rp6.000,2,Rp12.000
469,29/10/2024,9:18:19 AM,Jus Buah Naga,Rp20.000,2,Rp40.000
470,29/10/2024,2:38:10 PM,Konro Bakar,Rp60.000,2,Rp120.000
470,29/10/2024,2:38:10 PM,Coto Makassar,Rp35.000,2,Rp70.000
470,29/10/2024,2:38:10 PM,Ketupat,Rp2.000,2,Rp4.000
470,29/10/2024,2:38:10 PM,Kerupuk,Rp3.000,1,Rp3.000
470,29/10/2024,2:38:10 PM,Jus Alpukat,Rp20.000,1,Rp20.000
